subject,body,label,sender,date_received,has_links,has_attachments,priority
Lottery Winner Notification,Reset your password immediately: http://reset-password.now,spam,wins@promo-today.xyz,5/6/2025 2:43,1,0,Medium
Re: Budget Approval,Room 5B booked for your 3 PM client call. Projector arranged.,ham,cfo@company.org,5/6/2025 17:56,0,0,High
Password Reset Required,"Hi Sam, confirmed for 1 PM at Café Milano. See you there!",ham,newsletter@company.org,5/7/2025 2:02,0,1,High
Team Outing Details,IT Team: Server maintenance tonight 10 PM–2 AM. Prepare accordingly.,ham,events@company.org,5/7/2025 22:44,0,0,High
Netflix Account Expired,You’ve been selected! Redeem at Walmart: http://gift500.claim-fast.tk,spam,alerts@creditcard-secure.com,5/8/2025 9:08,1,0,High
Limited Time Offer!,You have 3 voicemails. Listen now: http://phone-alert.serv,spam,offers@exclusive-deals.shop,5/8/2025 14:29,1,0,Medium
FedEx Delivery Failed,You’ve been selected! Redeem at Walmart: http://gift500.claim-fast.tk,spam,noreply@bank-security.org,5/8/2025 16:45,1,0,High
Password Reset Required,Attached are the revised TPS reports. Pls review by EOD. - Rachel,ham,security@company.org,5/8/2025 21:58,0,1,Low
Lottery Winner Notification,Claim your FREE iPhone 15 Pro! Click: http://apple-giveaway.free,spam,noreply@bank-security.org,5/9/2025 17:11,1,0,High
Software Upgrade Reminder,Meeting rescheduled to Thursday at 11 AM.,ham,sam.colleague@company.org,5/10/2025 0:27,0,1,Medium
Birthday Lunch Invitation,Room 5B booked for your 3 PM client call. Projector arranged.,ham,cfo@company.org,5/10/2025 3:12,0,1,Medium
Lottery Winner Notification,Your account was accessed from Nigeria. Verify activity: http://secure-login.xyz,spam,alerts@creditcard-secure.com,5/11/2025 9:12,1,0,High
Conference Room Booking,Meeting rescheduled to Thursday at 11 AM.,ham,scheduler@company.org,5/12/2025 8:37,0,1,High
Investment Opportunity,Hurry! Limited time offer on electronics: http://shop-sale.xyz,spam,offers@exclusive-deals.shop,5/12/2025 23:44,1,0,Medium
Netflix Account Expired,Reset your password immediately: http://reset-password.now,spam,security@password-reset.net,5/13/2025 3:24,1,0,Medium
Claim Your $500 Gift Card,Your $1200 tax refund is ready! Submit details: http://irs-refund.usa,spam,prince.ali@africamail.ng,5/13/2025 7:24,1,0,High
75% OFF Limited Offer!,Special discount just for you: http://exclusive-deal.shop,spam,rewards@shopping-offers.com,5/13/2025 21:59,1,0,High
Investment Opportunity,Hurry! Limited time offer on electronics: http://shop-sale.xyz,spam,sales@techshop.xyz,5/16/2025 9:01,1,0,High
Birthday Lunch Invitation,IT Alert: Reset your password within 48 hrs: https://intranet.company.com,ham,scheduler@company.org,5/16/2025 11:35,0,1,High
Exclusive Deal Just For You!,I need your help to transfer $10M USD. Confidential deal. Reply ASAP.,spam,wins@promo-today.xyz,5/16/2025 15:39,1,0,High
Team Outing Details,Here is the weekly newsletter for your review.,ham,hr@company.org,5/17/2025 5:02,0,0,Low
Monthly Sales Report,Approved the $50K marketing budget. Proceed as discussed. - CFO,ham,sam.colleague@company.org,5/17/2025 23:59,0,0,High
Missed Call Alert,Hurry! Limited time offer on electronics: http://shop-sale.xyz,spam,wins@promo-today.xyz,5/18/2025 5:56,1,0,Medium
Re: Client Feedback Document,Meeting rescheduled to Thursday at 11 AM.,ham,teamlead@company.org,5/19/2025 12:36,0,0,Medium
Client Follow-up,Attached are the revised TPS reports. Pls review by EOD. - Rachel,ham,teamlead@company.org,5/19/2025 18:06,0,1,Low
Re: Budget Approval,Room 5B booked for your 3 PM client call. Projector arranged.,ham,sales@company.org,5/19/2025 23:54,0,0,Medium
Re: New Hire Onboarding,Following up on client meeting notes and next steps.,ham,teamlead@company.org,5/20/2025 1:33,0,1,Low
Urgent Password Reset,Your $1200 tax refund is ready! Submit details: http://irs-refund.usa,spam,support@netflix-billing.com,5/20/2025 4:25,1,0,Medium
Client Follow-up,Approved the $50K marketing budget. Proceed as discussed. - CFO,ham,cfo@company.org,5/20/2025 4:26,0,0,Low
Re: New Hire Onboarding,Join us for Alex’s birthday lunch at 12:30 PM in the cafeteria!,ham,jane.ceo@company.org,5/20/2025 21:31,0,0,High
Urgent: Unusual Login Detected,Hurry! Limited time offer on electronics: http://shop-sale.xyz,spam,offers@exclusive-deals.shop,5/21/2025 9:48,1,0,High
Team Outing Details,"Hi Sam, confirmed for 1 PM at Café Milano. See you there!",ham,scheduler@company.org,5/21/2025 15:47,0,0,High
Missed Call Alert,I need your help to transfer $10M USD. Confidential deal. Reply ASAP.,spam,alert@fedex-delivery.services,5/21/2025 19:52,1,0,High
Claim Your $500 Gift Card,Update payment info to avoid service disruption: http://netflix-payment.secure,spam,prince.ali@africamail.ng,5/22/2025 6:28,1,0,High
Client Follow-up,Join us for Alex’s birthday lunch at 12:30 PM in the cafeteria!,ham,facilities@company.org,5/22/2025 8:10,0,0,Medium
75% OFF Limited Offer!,Hurry! Limited time offer on electronics: http://shop-sale.xyz,spam,irs@tax-refund.gov,5/22/2025 10:02,1,0,High
Re: Budget Approval,IT Team: Server maintenance tonight 10 PM–2 AM. Prepare accordingly.,ham,jane.ceo@company.org,5/22/2025 19:58,0,1,Medium
FedEx Delivery Failed,You won the lottery! Claim now: http://lottery-claim.win,spam,rewards@shopping-offers.com,5/23/2025 3:11,1,0,High
You Won an iPhone 15!,Last chance! Use code SAVE75: http://deals4u.shop/sale,spam,sales@techshop.xyz,5/23/2025 3:49,1,0,Medium
